Date,Price,Open,High,Low,Vol.,Change %,change
11/01/2023,"22,433.38","22,550.65","22,911.98","22,201.56",259.00M,-0.52%,Negative
10/31/2023,"22,550.65","23,435.65","23,573.84","22,550.65",375.01M,-3.78%,Negative
10/30/2023,"23,435.65","23,086.72","23,559.20","23,086.72",396.07M,1.51%,Positive
10/29/2023,"23,086.72","23,262.27","23,413.14","23,086.72",580.50M,-0.75%,Negative
10/26/2023,"23,262.27","23,131.96","23,439.40","22,911.53",388.61M,0.56%,Positive
10/25/2023,"23,131.96","22,377.39","23,226.61","22,377.39",348.12M,3.37%,Positive
10/24/2023,"22,377.39","22,572.49","22,841.22","21,858.48",228.86M,-0.86%,Negative
10/23/2023,"22,572.49","22,128.49","22,616.58","22,128.49",240.04M,2.01%,Positive
10/22/2023,"22,128.49","21,616.60","22,202.78","21,586.32",171.62M,2.37%,Positive
10/19/2023,"21,616.60","22,117.40","22,217.68","21,616.60",244.34M,-2.26%,Negative
10/18/2023,"22,117.40","22,073.95","22,423.59","21,972.82",287.02M,0.20%,Positive
10/17/2023,"22,073.95","21,032.35","22,142.88","21,032.35",327.02M,4.95%,Positive
10/16/2023,"21,032.35","20,324.96","21,328.74","20,324.96",274.15M,3.48%,Positive
10/15/2023,"20,324.96","20,002.10","20,464.66","20,002.10",167.68M,1.61%,Positive
10/12/2023,"20,002.10","19,653.49","20,002.10","19,653.49",157.88M,1.77%,Positive
10/11/2023,"19,653.49","19,724.32","19,913.82","19,653.49",133.22M,-0.36%,Negative
10/10/2023,"19,724.32","19,409.78","19,749.01","19,276.31",132.99M,1.62%,Positive
10/09/2023,"19,409.78","19,357.42","19,464.73","19,219.31",108.63M,0.27%,Positive
10/08/2023,"19,357.42","19,873.31","19,873.31","18,455.68",202.25M,-2.60%,Negative
10/04/2023,"19,873.31","19,706.96","19,896.46","19,661.31",118.56M,0.84%,Positive
10/03/2023,"19,706.96","19,901.24","19,927.22","19,652.16",115.00M,-0.98%,Negative
10/02/2023,"19,901.24","20,054.72","20,162.05","19,608.68",208.97M,-0.77%,Negative
10/01/2023,"20,054.72","20,174.28","20,223.85","19,979.56",136.22M,-0.59%,Negative
09/27/2023,"20,174.28","20,354.86","20,429.44","20,086.40",171.06M,-0.89%,Negative
09/26/2023,"20,354.86","20,320.56","20,531.31","20,320.56",209.81M,0.17%,Positive
09/25/2023,"20,320.56","20,213.70","20,498.51","20,213.70",215.20M,0.53%,Positive
09/24/2023,"20,213.70","20,080.57","20,325.68","20,077.36",160.22M,0.66%,Positive
09/21/2023,"20,080.57","19,797.23","20,082.10","19,692.41",160.29M,1.43%,Positive
09/20/2023,"19,797.23","19,954.30","20,264.21","19,715.05",210.90M,-0.79%,Negative
09/19/2023,"19,954.30","19,751.78","20,049.38","19,712.25",190.78M,1.03%,Positive
09/18/2023,"19,751.78","19,668.82","19,762.40","19,586.73",190.18M,0.42%,Positive
09/17/2023,"19,668.82","19,540.33","19,772.59","19,540.33",238.38M,0.66%,Positive
09/14/2023,"19,540.33","19,361.70","19,642.41","19,361.70",143.07M,0.92%,Positive
09/13/2023,"19,361.70","19,144.09","19,408.92","19,144.09",104.04M,1.14%,Positive
09/12/2023,"19,144.09","19,278.72","19,286.18","19,112.04",128.77M,-0.70%,Negative
09/11/2023,"19,278.72","19,577.85","19,601.83","19,238.48",199.13M,-1.53%,Negative
09/10/2023,"19,577.85","19,375.68","19,676.23","19,375.64",198.25M,1.04%,Positive
09/07/2023,"19,375.68","19,224.52","19,471.40","19,224.48",126.02M,0.79%,Positive
09/06/2023,"19,224.52","19,044.39","19,287.49","19,044.39",186.24M,0.95%,Positive
09/05/2023,"19,044.39","18,910.99","19,146.68","18,910.99",173.82M,0.71%,Positive
09/04/2023,"18,910.99","18,726.01","18,945.66","18,726.01",147.93M,0.99%,Positive
09/03/2023,"18,726.01","18,873.82","18,955.40","18,726.01",110.03M,-0.78%,Negative
08/31/2023,"18,873.82","18,818.15","18,884.84","18,726.46",131.97M,0.30%,Positive
08/30/2023,"18,818.15","18,629.34","18,832.19","18,629.34",150.63M,1.01%,Positive
08/29/2023,"18,629.34","18,584.84","18,709.86","18,584.84",220.66M,0.24%,Positive
08/28/2023,"18,584.84","18,516.59","18,757.12","18,516.59",272.19M,0.37%,Positive
08/27/2023,"18,516.59","18,207.82","18,516.59","18,207.82",134.13M,1.70%,Positive
